alpha_code,num_colors,predominant_color_name,secondary_color,color_names
ng,2,seagreen,white,seagreen|white
ni,2,darkcyan,white,darkcyan|white
nl,3,darkslateblue,firebrick,white|darkslateblue|firebrick
no,3,crimson,midnightblue,crimson|white|midnightblue
np,3,white,crimson,white|crimson|midnightblue
nr,2,midnightblue,gold,midnightblue|gold
nu,4,gold,white,gold|midnightblue|white|crimson
nz,3,midnightblue,crimson,white|midnightblue|crimson
om,3,crimson,white,crimson|white|green
pa,3,white,midnightblue,white|crimson|midnightblue
pe,2,crimson,white,crimson|white
pf,2,crimson,white,crimson|white
pg,2,black,crimson,black|crimson
ph,3,darkblue,crimson,white|crimson|darkblue
pk,2,darkgreen,white,darkgreen|white
pl,2,crimson,white,crimson|white
pm,5,lightseagreen,gold,lightseagreen|white|red|black|gold
pn,3,midnightblue,crimson,midnightblue|white|crimson
pr,3,red,white,red|white|royalblue
ps,4,black,forestgreen,forestgreen|white|crimson|black
pt,2,red,darkgreen,darkgreen|red
pw,2,dodgerblue,yellow,dodgerblue|yellow
py,3,firebrick,darkblue,firebrick|white|darkblue
qa,2,brown,white,brown|white
re,3,royalblue,red,royalblue|red|yellow
ro,3,midnightblue,crimson,midnightblue|crimson|gold
rs,3,white,firebrick,firebrick|white|midnightblue
ru,3,white,darkblue,white|darkblue|firebrick
rw,3,deepskyblue,darkslategray,darkslategray|gold|deepskyblue
sa,2,forestgreen,white,forestgreen|white
sb,3,darkslategray,teal,gold|darkslategray|teal
sc,5,crimson,midnightblue,crimson|forestgreen|white|sandybrown|midnightblue
sd,4,black,crimson,crimson|white|black|green
se,2,darkcyan,gold,gold|darkcyan
sg,2,white,crimson,crimson|white
sh,3,midnightblue,crimson,midnightblue|white|crimson
si,3,dodgerblue,red,white|red|dodgerblue
sj,3,crimson,midnightblue,crimson|white|midnightblue
sk,3,crimson,white,white|teal|crimson
sl,3,darkcyan,limegreen,white|darkcyan|limegreen
sm,2,white,cornflowerblue,white|cornflowerblue
sn,3,forestgreen,crimson,forestgreen|crimson|yellow
so,1,royalblue,royalblue,royalblue
sr,3,seagreen,firebrick,white|seagreen|firebrick
ss,5,black,forestgreen,darkslateblue|crimson|black|white|forestgreen
st,3,forestgreen,gold,forestgreen|gold|crimson
sv,2,teal,white,teal|white
sx,3,crimson,midnightblue,midnightblue|white|crimson
sy,3,black,crimson,white|black|crimson
sz,5,steelblue,firebrick,steelblue|firebrick|gold|white|black
tc,3,midnightblue,crimson,midnightblue|white|crimson
td,3,midnightblue,crimson,midnightblue|crimson|gold
tf,2,darkblue,white,darkblue|white
tg,3,darkslategray,gold,gold|darkslategray|crimson
th,3,darkslategray,brown,brown|whitesmoke|darkslategray
tj,3,white,red,red|white|darkgreen
tk,2,midnightblue,gold,midnightblue|gold
tl,3,crimson,black,gold|black|crimson
tm,2,forestgreen,crimson,forestgreen|crimson
tn,2,red,white,red|white
to,2,firebrick,white,white|firebrick
tr,1,red,red,red
tt,3,crimson,black,crimson|black|white
tv,4,lightseagreen,crimson,lightseagreen|crimson|white|midnightblue
tw,2,red,darkblue,red|darkblue
tz,4,black,limegreen,limegreen|black|deepskyblue|gold
ua,2,darkcyan,gold,darkcyan|gold
ug,3,gold,black,red|gold|black
um,3,firebrick,white,firebrick|white|darkslateblue
us,3,firebrick,white,white|firebrick|darkslateblue
uy,2,white,darkblue,white|darkblue
uz,3,white,limegreen,white|limegreen|lightseagreen
va,2,gold,white,white|gold
vc,3,gold,forestgreen,midnightblue|gold|forestgreen
ve,3,gold,crimson,midnightblue|gold|crimson
vg,3,midnightblue,white,white|midnightblue|crimson
vi,2,white,sandybrown,sandybrown|white
vn,2,crimson,yellow,crimson|yellow
vu,4,forestgreen,crimson,black|crimson|forestgreen|gold
wf,2,crimson,white,crimson|white
ws,2,crimson,midnightblue,crimson|midnightblue
xk,2,darkslateblue,peru,darkslateblue|peru
ye,3,black,crimson,white|black|crimson
yt,3,white,gainsboro,white|firebrick|gainsboro
za,5,seagreen,crimson,seagreen|crimson|white|darkblue|black
zm,4,green,darkorange,green|darkorange|black|crimson
zw,5,darkgreen,gold,gold|darkgreen|red|white|black
